user,uid,proc_pid,proc_ppid,path,argv,conn_id,timestamp_epoch_ms,source_port,dest_port,ip_version,source_ip,dest_ip,byte_cnt,packet_cnt
,0,9399,9397,/usr/bin/perl,,4036378624,1371797421537,46047,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9399,9397,/usr/bin/perl,,4036378624,1371797425540,46050,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9399,9397,/usr/bin/perl,,4036378624,1371797429543,46052,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,1556,1,/usr/sbin/gdm-binary,gdm-binary,4035318272,1371797424002,30063,30072,4,127.0.0.209,108.122.0.0,4540,227
,0,9399,9397,/usr/bin/perl,,4036378624,1371797433547,46054,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,9450,9448,/usr/bin/perl,,4134135488,1371797428974,42971,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797429103,40461,53,4,10.32.92.230,70.0.0.1,168,3
,0,9399,9397,/usr/bin/perl,,4036378624,1371797437550,46056,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9399,9397,/usr/bin/perl,,4036378624,1371797441554,46058,6667,4,10.32.92.230,69.42.215.170,560,10
,0,9399,9397,/usr/bin/perl,,4036378624,1371797445557,46060,6667,4,10.32.92.230,69.42.215.170,2292,41
,0,9399,9397,/usr/bin/perl,,4036378624,1371797449561,46062,6667,4,10.32.92.230,69.42.215.170,2012,36
,0,9399,9397,/usr/bin/perl,,4036378624,1371797453565,46064,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9450,9448,/usr/bin/perl,,4134135488,1371797448978,49336,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797449104,50056,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4036378624,1371797457568,46066,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4036378624,1371797461571,46068,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,9399,9397,/usr/bin/perl,,4036378624,1371797465575,46070,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9399,9397,/usr/bin/perl,,4036378624,1371797469578,46072,6667,4,10.32.92.230,69.42.215.170,560,10
,0,3476,3475,/sbin/ttymon,ttymon,4035317696,1371797465002,0,0,4,10.32.92.230,210.163.43.1,2088,2
,0,9399,9397,/usr/bin/perl,,4036378624,1371797473582,46074,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9450,9448,/usr/bin/perl,,4134135488,1371797468980,52906,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797469106,40640,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4036378624,1371797477585,46076,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9399,9397,/usr/bin/perl,,4036378624,1371797481589,46078,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9399,9397,/usr/bin/perl,,4036378624,1371797485593,46080,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9399,9397,/usr/bin/perl,,4036378624,1371797489597,46082,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,1545,1,/usr/lib/vmware-tools/bin32/appLoader,,4036390784,1371797444441,35492,6667,4,192.168.1.110,94.125.182.255,240,4
,0,2066,2065,/usr/lib/devicekit-disks/devkit-disks-daemon,/usr/lib/devicekit-disks/devkit-disks-daemon,4035317696,1371797485002,30063,30072,4,127.0.0.64,108.122.0.0,3800,190
,0,9399,9397,/usr/bin/perl,,4036378624,1371797493601,46084,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,9450,9448,/usr/bin/perl,,4134135488,1371797488983,58995,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797489113,60856,53,4,10.32.92.230,70.0.0.1,168,3
,0,9399,9397,/usr/bin/perl,,4036378624,1371797497605,46086,6667,4,10.32.92.230,69.42.215.170,944,17
,0,9399,9397,/usr/bin/perl,,4036378624,1371797501617,46088,6667,4,10.32.92.230,69.42.215.170,560,10
,0,1545,1,/usr/lib/vmware-tools/bin32/appLoader,,4036393216,1371797474451,44385,445,4,192.168.1.110,192.168.1.90,6022,29
,0,9399,9397,/usr/bin/perl,,4036378624,1371797505621,46090,6667,4,10.32.92.230,69.42.215.170,1888,34
,0,9399,9397,/usr/bin/perl,,4036378624,1371797509629,46092,6667,4,10.32.92.230,69.42.215.170,1836,33
,0,9464,9463,/tmp/.mysql/-sh,h,4134136640,1371797503221,60405,53,4,10.32.92.230,70.0.0.1,280,4
,0,9399,9397,/usr/bin/perl,,4036378624,1371797513633,46094,6667,4,10.32.92.230,69.42.215.170,1888,34
,0,9450,9448,/usr/bin/perl,,4134135488,1371797508987,51724,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797509115,44549,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4036378624,1371797517637,46096,6667,4,10.32.92.230,69.42.215.170,1608,29
,0,1545,1,/usr/lib/vmware-tools/bin32/appLoader,,4035587968,1371773504793,33741,445,4,192.168.1.110,192.168.1.90,919828,781
,0,9399,9397,/usr/bin/perl,,4036378624,1371797521645,46099,6667,4,10.32.92.230,69.42.215.170,1224,22
,0,3476,3475,/sbin/ttymon,ttymon,4035318272,1371797495002,0,0,4,127.0.0.1,127.0.0.1,2068,2
,0,9399,9397,/usr/bin/perl,,4036378624,1371797525649,46101,6667,4,10.32.92.230,69.42.215.170,892,16
,0,9399,9397,/usr/bin/perl,,4036378624,1371797529653,46103,6667,4,10.32.92.230,69.42.215.170,664,12
,0,9464,9463,/tmp/.mysql/-sh,h,4134136640,1371797523233,44913,53,4,10.32.92.230,70.0.0.1,140,2
,0,9464,9463,/tmp/.mysql/-sh,h,4036392000,1371797492213,41408,6667,4,192.168.1.110,69.16.172.34,240,4
,0,9399,9397,/usr/bin/perl,,4036378624,1371797533660,46105,6667,4,10.32.92.230,69.42.215.170,280,5
,0,1545,1,/usr/lib/vmware-tools/bin32/appLoader,,4036296704,1371797534459,46106,6667,4,10.32.92.230,69.42.215.170,1732,31
,0,9450,9448,/usr/bin/perl,,4134135488,1371797528995,36025,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797529122,57696,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4036296704,1371797539671,46108,6667,4,10.32.92.230,69.42.215.170,1784,32
,0,9399,9397,/usr/bin/perl,,4036296704,1371797543679,46110,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,3259,3241,/home/user/honelogd,,4035318272,1371797536003,0,0,4,10.32.92.230,212.110.79.74,2944,96
,0,9399,9397,/usr/bin/perl,,4036296704,1371797547683,46112,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4036296704,1371797551686,46114,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,9399,9397,/usr/bin/perl,,4036296704,1371797555690,46116,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9450,9448,/usr/bin/perl,,4134135488,1371797549010,36524,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797549134,42589,53,4,10.32.92.230,70.0.0.1,168,3
,0,9399,9397,/usr/bin/perl,,4036296704,1371797559694,46118,6667,4,10.32.92.230,69.42.215.170,560,10
,0,9399,9397,/usr/bin/perl,,4036296704,1371797563698,46120,6667,4,10.32.92.230,69.42.215.170,1172,21
,0,1545,1,/usr/lib/vmware-tools/bin32/appLoader,,4035587968,1371797564445,46121,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9399,9397,/usr/bin/perl,,4035587968,1371797569704,46123,6667,4,10.32.92.230,69.42.215.170,560,10
,0,9399,9397,/usr/bin/perl,,4035587968,1371797573708,46125,6667,4,10.32.92.230,69.42.215.170,280,5
,0,9450,9448,/usr/bin/perl,,4134135488,1371797569018,34349,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797569138,50390,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4036296704,1371797577712,49851,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4036296704,1371797581716,49853,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,3476,3475,/sbin/ttymon,ttymon,4035317696,1371797556002,0,0,4,127.0.0.1,127.0.0.1,2068,2
,0,9399,9397,/usr/bin/perl,,4036296704,1371797585720,49855,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9399,9397,/usr/bin/perl,,4036296704,1371797589725,49857,6667,4,10.32.92.230,69.42.215.170,612,11
,0,9399,9397,/usr/bin/perl,,4036296704,1371797593728,49859,6667,4,10.32.92.230,69.42.215.170,280,5
,0,12692,3476,/sbin/ttymon,ttymon,4035318272,1371797556012,30063,30072,0,,,1024,1
,0,1545,1,/usr/lib/vmware-tools/bin32/appLoader,,4035587968,1371797594470,49860,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9450,9448,/usr/bin/perl,,4134135488,1371797589024,43760,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797589140,60660,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4035587968,1371797599735,49862,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4035587968,1371797603738,49864,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,2066,2065,/usr/lib/devicekit-disks/devkit-disks-daemon,/usr/lib/devicekit-disks/devkit-disks-daemon,4035317696,1371797597002,0,0,4,10.32.92.230,212.110.79.74,5264,212
,0,9399,9397,/usr/bin/perl,,4035587968,1371797607742,49866,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9399,9397,/usr/bin/perl,,4035587968,1371797611745,49868,6667,4,10.32.92.230,69.42.215.170,560,10
,1000,3144,1,/usr/lib/gvfs/gvfsd-smb,,4036393216,1371797596390,49870,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9450,9448,/usr/bin/perl,,4134135488,1371797609030,49875,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797609144,35040,53,4,10.32.92.230,70.0.0.1,168,3
,0,9399,9397,/usr/bin/perl,,4036393216,1371797619752,49872,6667,4,10.32.92.230,69.42.215.170,560,10
,0,9399,9397,/usr/bin/perl,,4035587968,1371797615748,49875,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4036393216,1371797623755,49874,6667,4,10.32.92.230,69.42.215.170,280,5
,0,9399,9397,/usr/bin/perl,,4035587968,1371797627759,49876,6667,4,10.32.92.230,69.42.215.170,1960,35
,0,9399,9397,/usr/bin/perl,,4035587968,1371797631762,49878,6667,4,10.32.92.230,69.42.215.170,1960,35
,0,9399,9397,/usr/bin/perl,,4035587968,1371797635766,49880,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9450,9448,/usr/bin/perl,,4134135488,1371797629035,35926,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797629148,34574,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4035587968,1371797639769,49882,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4035587968,1371797643772,49884,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,12707,3476,/sbin/ttymon,ttymon,4035317696,1371797617011,0,0,4,127.0.0.1,127.0.0.1,2068,2
,0,9399,9397,/usr/bin/perl,,4035587968,1371797647776,49886,6667,4,10.32.92.230,69.42.215.170,840,15
